+0.043 +9.59191363e-01 +5.81222386e+00 +7.84606494e+00 +1.45916946e+01 +1.92827358e+01 +7.50125590e+01 +4.88919879e+00 +6.89840392e+00 +1.37157136e+01 +1.85846755e+01 +1.76900954e+00 +6.65341280e+00 +8.74602445e+00 +1.53624366e+01
+0.044 +9.57333098e-01 +5.80366530e+00 +7.83895772e+00 +1.45732696e+01 +1.92523867e+01 +7.49684432e+01 +4.88409647e+00 +6.89368493e+00 +1.37027459e+01 +1.85662070e+01 +1.75953972e+00 +6.63815617e+00 +8.73451693e+00 +1.53346313e+01
+0.045 +9.55437697e-01 +5.79493498e+00 +7.83169950e+00 +1.45544916e+01 +1.92216232e+01 +7.49235161e+01 +4.87888701e+00 +6.88886309e+00 +1.36895171e+01 +1.85474074e+01 +1.74996309e+00 +6.62263881e+00 +8.72278406e+00 +1.53063736e+01
+0.046 +9.53505516e-01 +5.78603449e+00 +7.82429111e+00 +1.45353648e+01 +1.91904605e+01 +7.48777897e+01 +4.87357106e+00 +6.88393878e+00 +1.36760296e+01 +1.85282820e+01 +1.74028499e+00 +6.60686587e+00 +8.71082825e+00 +1.52776740e+01
+0.047 +9.51536920e-01 +5.77696546e+00 +7.81673336e+00 +1.45158938e+01 +1.91589139e+01 +7.48312759e+01 +4.86814931e+00 +6.87891239e+00 +1.36622857e+01 +1.85088366e+01 +1.73051072e+00 +6.59084256e+00 +8.69865193e+00 +1.52485433e+01
+0.048 +9.49532276e-01 +5.76772954e+00 +7.80902710e+00 +1.44960831e+01 +1.91269984e+01 +7.47839867e+01 +4.86262244e+00 +6.87378431e+00 +1.36482880e+01 +1.84890767e+01 +1.72064549e+00 +6.57457407e+00 +8.68625757e+00 +1.52189921e+01
+0.049 +9.47491958e-01 +5.75832841e+00 +7.80117319e+00 +1.44759374e+01 +1.90947291e+01 +7.47359342e+01 +4.85699117e+00 +6.86855493e+00 +1.36340389e+01 +1.84690079e+01 +1.71069443e+00 +6.55806564e+00 +8.67364768e+00 +1.51890310e+01
+0.050 +9.45416345e-01 +5.74876377e+00 +7.79317250e+00 +1.44554613e+01 +1.90621209e+01 +7.46871304e+01 +4.85125619e+00 +6.86322466e+00 +1.36195409e+01 +1.84486359e+01 +1.70066262e+00 +6.54132251e+00 +8.66082476e+00 +1.51586707e+01
+0.051 +9.43305822e-01 +5.73903734e+00 +7.78502591e+00 +1.44346595e+01 +1.90291887e+01 +7.46375877e+01 +4.84541823e+00 +6.85779391e+00 +1.36047967e+01 +1.84279664e+01 +1.69055504e+00 +6.52434991e+00 +8.64779135e+00 +1.51279220e+01
+0.052 +9.41160776e-01 +5.72915085e+00 +7.77673432e+00 +1.44135369e+01 +1.89959471e+01 +7.45873181e+01 +4.83947804e+00 +6.85226310e+00 +1.35898088e+01 +1.84070050e+01 +1.68037659e+00 +6.50715311e+00 +8.63455003e+00 +1.50967954e+01
+0.053 +9.38981601e-01 +5.71910608e+00 +7.76829864e+00 +1.43920981e+01 +1.89624106e+01 +7.45363339e+01 +4.83343637e+00 +6.84663266e+00 +1.35745799e+01 +1.83857575e+01 +1.67013208e+00 +6.48973735e+00 +8.62110336e+00 +1.50653017e+01
+0.054 +9.36768696e-01 +5.70890481e+00 +7.75971981e+00 +1.43703481e+01 +1.89285938e+01 +7.44846472e+01 +4.82729395e+00 +6.84090302e+00 +1.35591126e+01 +1.83642297e+01 +1.65982623e+00 +6.47210789e+00 +8.60745395e+00 +1.50334515e+01
+0.055 +9.34522461e-01 +5.69854884e+00 +7.75099875e+00 +1.43482918e+01 +1.88945109e+01 +7.44322703e+01 +4.82105158e+00 +6.83507463e+00 +1.35434096e+01 +1.83424272e+01 +1.64946368e+00 +6.45426996e+00 +8.59360442e+00 +1.50012554e+01
+0.056 +9.32243304e-01 +5.68803999e+00 +7.74213642e+00 +1.43259340e+01 +1.88601759e+01 +7.43792154e+01 +4.81471003e+00 +6.82914792e+00 +1.35274737e+01 +1.83203557e+01 +1.63904896e+00 +6.43622881e+00 +8.57955740e+00 +1.49687240e+01
+0.057 +9.29931634e-01 +5.67738011e+00 +7.73313378e+00 +1.43032799e+01 +1.88256027e+01 +7.43254947e+01 +4.80827008e+00 +6.82312335e+00 +1.35113076e+01 +1.82980210e+01 +1.62858652e+00 +6.41798966e+00 +8.56531554e+00 +1.49358678e+01
+0.058 +9.27587867e-01 +5.66657106e+00 +7.72399181e+00 +1.42803344e+01 +1.87908050e+01 +7.42711203e+01 +4.80173254e+00 +6.81700139e+00 +1.34949141e+01 +1.82754288e+01 +1.61808070e+00 +6.39955771e+00 +8.55088150e+00 +1.49026973e+01
+0.059 +9.25212420e-01 +5.65561472e+00 +7.71471150e+00 +1.42571025e+01 +1.87557963e+01 +7.42161044e+01 +4.79509821e+00 +6.81078250e+00 +1.34782960e+01 +1.82525848e+01 +1.60753573e+00 +6.38093817e+00 +8.53625796e+00 +1.48692229e+01
